path	size	first_u16	owning_s	format	invariant	consumer
graphics/misc/gUnknown_08AA7194.bin	52	0x0008	data/data_AA6BFA.s	oam_object_data	ok	PutSpriteExt(0, OAM1_X(x - 0x38), 0x00000828, gUnknown_08AA7194, 0);
graphics/misc/gUnknown_08A07C0A.bin	78	0x39F3	data/data_A01CC4.s	palette	ok	r6 = gUnknown_08A07C0A;
graphics/misc/gUnknown_08A1BD60.bin	2468	0x0000	data/data_A195B0.s	palette	ok	gPaletteBuffer[0x14D] = *(gUnknown_08A1BD60 + (GetGameClock() >> 2 & 0
graphics/misc/gUnknown_08A2C23C.bin	652	0x7FFF	data/data_A21658.s	palette	ok	SaveMenuCopyPalette(gUnknown_08A2C23C, gEndingTmScratchA, 2);
graphics/misc/gUnknown_08A97E48.bin	144	0x7BC7	data/data_A3E4D4.s	palette	ok	pal[i] = idx[gUnknown_08A97E48];
graphics/misc/gUnknown_085A0838.bin	184	0x0809	data/data_59E8E0.s	tilemap_fill		CallARM_FillTileRect(tm, gUnknown_085A0838, (u16)tileref);
graphics/misc/gUnknown_085A08F0.bin	184	0x0809	data/data_59E8E0.s	tilemap_fill		CallARM_FillTileRect(tm, gUnknown_085A08F0, (u16)tileref);
graphics/misc/gUnknown_085A0D4C.bin	340	0x0C0C	data/data_59E8E0.s	tilemap_fill		CallARM_FillTileRect(gBG1TilemapBuffer + 0x42, gUnknown_085A0D4C, 0x10
graphics/misc/gUnknown_08A98CFC.bin	92	0x030A	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(TILEMAP_LOCATED(gBG1TilemapBuffer, 2, 14), gUnkno
graphics/misc/gUnknown_08A98D58.bin	48	0x010A	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(TILEMAP_LOCATED(gBG0TilemapBuffer, 2, 3), gUnknow
graphics/misc/gUnknown_08A98D88.bin	24	0x0104	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(TILEMAP_LOCATED(gBG0TilemapBuffer, 2, 9), gUnknow
graphics/misc/gUnknown_08A98DA0.bin	24	0x0104	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(TILEMAP_LOCATED(gBG0TilemapBuffer, 2, 11), gUnkno
graphics/misc/gUnknown_08A98DB8.bin	20	0x0103	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(TILEMAP_LOCATED(gBG2TilemapBuffer, 25, 16), gUnkn
graphics/misc/gUnknown_08A98EAC.bin	132	0x040C	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(gUnknown_0201BBD8, gUnknown_08A98EAC, 0x8000);
graphics/misc/gUnknown_08A98F30.bin	236	0x080C	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(gUnknown_0201BBD8, gUnknown_08A98F30, 0x8000);
graphics/misc/gUnknown_08AA18AC.bin	132	0x0707	data/data_A3E4D4.s	tilemap_fill		CallARM_FillTileRect(gUnknown_0201B458, gUnknown_08AA18AC, 0x000071E0)
graphics/misc/gUnknown_08A97FC4.bin	52	0x080C	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A97FC4,
graphics/misc/gUnknown_08A97FF8.bin	56	0x090B	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A97FF8,
graphics/misc/gUnknown_08A98030.bin	36	0x0F0E	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98030,
graphics/misc/gUnknown_08A98054.bin	24	0x1210	data/data_A3E4D4.s	wm_path_gfx	ok	.gfxData = gUnknown_08A98054,
